Medicine Name,Category,Timestamp,Quantity Purchased,Expiry Date,Quantity In Stock,Initial Stock,Supplier
Paracetamol,Pain Reliever,2024-09-01 09:15:00,100,2026-09-01,80,50,Pharma Inc.
Ibuprofen,Pain Reliever,2024-09-01 10:30:00,150,2025-12-01,120,70,MedSupply Co.
Amoxicillin,Antibiotic,2024-09-01 11:45:00,200,2026-03-15,180,100,HealthMart Ltd.
Metformin,Diabetes,2024-09-01 13:00:00,120,2025-08-20,100,80,Pharma Inc.
Cetirizine,Antihistamine,2024-09-01 14:15:00,80,2025-11-01,70,50,MedSupply Co.
Amlodipine,Antihypertensive,2024-09-01 15:30:00,90,2026-04-30,85,60,HealthMart Ltd.
Loratadine,Antihistamine,2024-09-02 09:00:00,70,2025-05-15,60,50,Pharma Inc.
Lisinopril,Antihypertensive,2024-09-02 10:15:00,100,2026-01-10,90,70,MedSupply Co.
Ciproflaxacin,Antibiotic,2024-09-02 11:30:00,60,2025-07-21,50,40,HealthMart Ltd.
Omeprazole,Antacid,2024-09-02 12:45:00,140,2025-09-05,130,90,Pharma Inc.
Lorazepam,Anti-anxiety,2024-09-02 14:00:00,50,2025-03-12,45,30,MedSupply Co.
Prednisone,Corticosteroid,2024-09-02 15:15:00,90,2025-06-30,85,70,HealthMart Ltd.
Atorvastatin,Cholesterol,2024-09-03 09:00:00,110,2026-02-18,100,80,Pharma Inc.
Simvastatin,Cholesterol,2024-09-03 10:15:00,130,2025-10-25,120,90,MedSupply Co.
Doxycycline,Antibiotic,2024-09-03 11:30:00,75,2025-04-19,70,50,HealthMart Ltd.
Gabapentin,Neuropathic Pain,2024-09-03 12:45:00,60,2026-08-15,55,40,Pharma Inc.
Azithromycin,Antibiotic,2024-09-03 14:00:00,85,2025-11-22,80,60,MedSupply Co.
Hydrocodone,Pain Reliever,2024-09-03 15:15:00,40,2025-02-28,35,25,HealthMart Ltd.
Alprazolam,Anti-anxiety,2024-09-04 09:00:00,55,2025-07-10,50,40,Pharma Inc.
Naproxen,Pain Reliever,2024-09-04 10:15:00,95,2026-01-25,90,70,MedSupply Co.
Clopidogrel,Antiplatelet,2024-09-04 11:30:00,70,2026-05-22,65,50,HealthMart Ltd.
Tramadol,Pain Reliever,2024-09-04 12:45:00,80,2025-12-01,75,55,Pharma Inc.
Furosemide,Diuretic,2024-09-04 14:00:00,110,2026-04-05,100,85,MedSupply Co.
Ranitidine,Antacid,2024-09-04 15:15:00,60,2025-08-15,55,45,HealthMart Ltd.
Warfarin,Anticoagulant,2024-09-05 09:00:00,85,2025-11-30,80,60,Pharma Inc.
Losartan,Antihypertensive,2024-09-05 10:15:00,100,2026-06-18,90,70,MedSupply Co.
Sildenafil,Erectile Dysfunction,2024-09-05 11:30:00,75,2025-05-01,70,50,HealthMart Ltd.
Diazepam,Anti-anxiety,2024-09-05 12:45:00,50,2025-09-10,45,35,Pharma Inc.
Verapamil,Antihypertensive,2024-09-05 14:00:00,90,2026-07-25,85,65,MedSupply Co.
Levothyroxine,Thyroid,2024-09-05 15:15:00,120,2025-10-30,110,90,HealthMart Ltd.
Methylprednisolone,Corticosteroid,2024-09-06 09:00:00,70,2025-06-10,65,50,Pharma Inc.
Metoprolol,Antihypertensive,2024-09-06 10:15:00,100,2026-03-25,90,70,MedSupply Co.
Hydrocortisone,Corticosteroid,2024-09-06 11:30:00,85,2025-12-20,80,60,HealthMart Ltd.
Methotrexate,Immunosuppressant,2024-09-06 12:45:00,60,2026-01-15,55,45,Pharma Inc.
Loratadine,Antihistamine,2024-09-06 14:00:00,95,2025-10-01,90,70,MedSupply Co.
